q1,av1,ai1
šķebīgums,1,3
mierīgums,2,-2
Ieinteresetiba,-2,-1
Pārsteigts,4,0
apmierinātība,2,-2
izbrīns,1,2
Patīkami,1,1
pārsteigums,4,4
Apmierinātība,2,1
Riebums,-2,-1
frustrated,-1,1
Pārsteigums,3,4
Nogurdinošu,-1,-2
Atvieglojums,4,-1
Neizpratnē,-1,-1
Uzjautrinājumu,4,2
interese,2,1
sāts,4,2
Vienaldzīgs.,0,-1
Lēts kičs un lēta šololāde.,0,-2
nostaļģija,0,-1
Interesi,0,1
Pārsteigts,4,3
"Neizpratni un atvieglojumu, ka nebija nepatīkams video materiāls",2,2
Miegainību,4,-1
Pārsteiguns,1,2
Izsalkums,1,0
"negaidīti, mmm garšīgi",2,2
vienaldzību,4,0
apmierinātība,3,2
Laime,4,3
apmierinātība,4,1
Nepatika,-2,1
Naidu,0,0
"Uzjautrināta, pozitīva, atvieglota",3,3
apmulsums,0,1
Vilšanās,-1,-1
laime,3,-1
Apjucis,-2,0
Pārsteigumu,3,2
Garlaikotība,0,-2
Interesi,3,3
Pārsteigumu,4,2
kārdinājums,3,1
Prieks,4,-1
Skaudību,1,0
šķebīgs,-1,2
Izbrīns,3,4
Apjukusi,0,2
žēl,1,2
iespaidīgi,0,-1
izbrīna,-2,3
Saspringums,0,-2
Domīgs,-1,0
bezcerība,1,-1
interese,1,1
Trauksme,-1,1
bailes,1,3
Satraukums,-1,1
Satraukums,-2,3
Satraukums,-1,2
Šoks,1,1
Bailes,-2,1
Pārsteigums,-1,2
"Patīkama sajūta, bet reizē uzbrūcoša.",2,1
Apjukums,-1,-1
domīgs,0,-1
enerģisks,3,4
Pārsteigts.,2,4
Draudi.,1,4
"emocijas - nekādas, jo es zinu kas šis par video",0,0
Izbrīns,0,0
Neizjutu emociju,0,0
"Bailes (kas būs video), tad satrakumu",0,1
Miegainību,1,1
baisi,-2,3
Bailes,-2,1
iespaidīgi,0,2
bailes,1,3
gandarījums,-1,1
Spriedzes atvieglojums,3,3
bailes,1,4
Terors,1,3
Lepnumu,0,1
"Iespaidīgi, satriecoši, vareni - aizrauj elpu - apbrīns",3,3
bailes,-2,4
Nostaļģija,3,0
stindzinājums,-2,4
Satraukums,-2,1
Bailes,-2,2
Bailes,1,1
Skumjas,-1,-2
Satraukts,-2,4
eksplozīvs,1,3
Bezizejas trauksme,1,3
Apbrīna,1,0
haoss,1,2
Skumjas,1,1
Nobijusies,-2,3
smaids,3,2
laimīgi,4,1
pārsteigums,2,3
Parsteigums,2,0
Prieks,4,2
mīlestība,4,2
Prieks,3,1
Smiekli,1,1
prieks,4,2
Apātija,0,-2
Atvieglojums,3,3
Prieks,3,3
Mīļums,4,-2
Mīloša,4,2
Prieks,4,2
Kaitinoša,0,1
Prieks,4,2
pārsteigums,1,2
tuvība,4,4
Apmierināts.,1,-2
"Prieks, pirmā intimitāte...",4,3
saspīlējums,1,2
Siltums,3,3
Ilgas,-2,-2
Atvieglojumu un prieku,3,1
Miegainību,2,1
mīligi,2,1
Mīlestība,2,1
"koķeti, mīļi, negaidīti",4,3
prieks,0,0
prieku,4,3
Prieks,4,4
prieks,4,3
Dzīvespriecīgums,3,3
Naids,-2,-2
"Saspringums, trauksme, bailes par notikumu attīstību",-2,2
aizkaitināta,-2,1
Cerība,4,-2
mīļums,4,0
Prieks,4,2
Rūpes,4,-1
Siltums,4,2
Prieku,4,4
Prieku,4,-1
patīkams pārsteigums,4,3
"Sirsnīga satrauktība, prieks",4,0
Mīļumu,2,1
Skaudība/riebums,1,1
